customer_id,year,month,weekend_amount_spent,Num_of_weekend_visits,total_amount_spent,total_num_of_visits,end_date
167939,2017,1,100.0,0,1814.65,2,31/01/2017
167939,2017,2,100.0,0,2839.84,5,28/02/2017
167939,2017,3,100.0,0,2007.77,7,31/03/2017
167939,2017,4,1415.5,1,11140.48,10,30/04/2017
167939,2017,5,100.0,0,12518.97,5,31/05/2017
167939,2017,6,100.0,0,22437.7,8,30/06/2017
167939,2017,7,100.0,0,16388.71,4,31/07/2017
167939,2017,8,100.0,0,2100.13,3,31/08/2017
167939,2017,9,100.0,0,10748.24,4,30/09/2017
167939,2017,10,100.0,0,6243.52,3,31/10/2017
167939,2017,11,3272.92,1,3822.42,3,30/11/2017
167939,2017,12,5725.12,2,19178.65,3,31/12/2017
167939,2018,1,1538.85,1,2143.51,3,31/01/2018
167939,2018,2,8269.54,1,11083.2,6,28/02/2018
167939,2018,3,100.0,0,16986.45,4,31/03/2018
167939,2018,4,18472.95,3,31158.53,11,30/04/2018
167939,2018,5,100.0,0,662.5,1,31/05/2018
167939,2018,6,100.0,0,1052.02,3,30/06/2018
167939,2018,7,100.0,0,6636.67,5,31/07/2018
167939,2018,8,100.0,0,5918.2,2,31/08/2018
167939,2018,9,14220.61,2,20457.27,4,30/09/2018
167939,2018,10,100.0,0,2353.6,4,31/10/2018
167939,2018,11,12889.27,1,13921.54,3,30/11/2018
167939,2018,12,100.0,0,14523.55,5,31/12/2018
167939,2019,1,100.0,0,5999.58,3,31/01/2019
167939,2019,2,100.0,0,22948.09,4,28/02/2019
167939,2019,3,3691.0,3,8733.9,7,31/03/2019
167939,2019,4,8215.93,2,19529.14,6,30/04/2019
167939,2019,5,100.0,0,5977.45,3,31/05/2019
167939,2019,6,100.0,0,11808.22,7,30/06/2019
167939,2019,7,100.0,0,12936.34,7,31/07/2019
167939,2019,8,3195.0,1,11165.31,7,31/08/2019
167939,2019,9,4859.83,2,29615.5,8,30/09/2019
167939,2019,10,5897.5,2,59116.1,21,31/10/2019
167939,2019,11,4382.5,1,33955.39,15,30/11/2019
167939,2019,12,485.5,1,10277.41,15,31/12/2019
